id,renewal,incentives
649,0.9942638278007507,182.3651925166723
81136,0.9868041276931763,442.89695394016735
70762,0.9265094995498657,427.8291109718257
53935,0.9741179347038269,270.69191152379295
15476,0.9382418990135193,384.86402282636715
64797,0.986629843711853,442.854470962951
67412,0.7206345796585083,127.77096766430041
44241,0.7998195886611938,232.53313978978275
5069,0.9922227263450623,484.81831483272384
16615,0.9949127435684204,682.9863499413798
84281,0.9880039691925049,582.1223712606204
82623,0.9738213419914246,21.138134988615928
86475,0.6130496859550476,334.64884226259903
68263,0.9053491950035095,11.154424592506357
113135,0.935751736164093,15.657073244633564
45532,0.9732975363731384,548.4066728390226
102161,0.9941017031669617,342.9850185626389
84789,0.5692566633224487,546.8818357054314
62398,0.9720092415809631,439.2658667669813
70148,0.9854515194892883,180.7952314744592
102487,0.8892419338226318,457.6903320503498
100513,0.8860273957252502,417.2862286835594
92702,0.9003829956054688,265.81713775952363
25051,0.7189452052116394,326.4400868809041
92920,0.9922465085983276,484.826182625128
25520,0.9686375856399536,438.43411997971884
81869,0.9785647988319397,772.6802392721329
75402,0.9887191653251648,341.8112759700054
34053,0.6641495823860168,0.0
21191,0.9884569644927979,396.75850190873086
10864,0.9889106750488281,273.6867934859861
6349,0.9746491312980652,338.7202014935008
85213,0.9861597418785095,341.251335676482
17255,0.9389263987541199,263.4259591770739
108351,0.794729471206665,143.9196570532655
51437,0.9728531241416931,439.4747841359186
88629,0.8192868232727051,532.0921780686224
85367,0.9878191947937012,23.111685165969327
12313,0.9359848499298096,15.691257587628822
71659,0.9756625294685364,440.1665589841871
35142,0.9935885667800903,274.6267764306232
62988,0.9895725846290588,552.8134488717901
8793,0.9423625469207764,172.9695129238445
11433,0.9928027987480164,397.7691061460036
30586,0.9918460249900818,553.4215933855522
53012,0.9721813797950745,178.4139047864833
87924,0.9847869277000427,340.95163503434264
106177,0.9827358722686768,441.9018139484072
63058,0.9574381709098816,544.0572402849192
99537,0.9708712100982666,479.37487170323016
35336,0.8716500997543335,548.419310068511
78691,0.9214036464691162,13.54670092907749
16161,0.9858917593955994,396.1633891141928
94318,0.9767811298370361,271.23269014954064
96583,0.9919345378875732,181.95033185520273
